State,District,Crime Category,Crime Type,Incident Date,Reported Crimes
Johor,Johor Bahru Utara,property,Break In,2018,238
Johor,Johor Bahru Utara,property,Break In,2019,233
Johor,Johor Bahru Utara,property,Break In,2020,149
Johor,Johor Bahru Utara,property,Break In,2021,91
Johor,Johor Bahru Utara,property,Break In,2022,53
Johor,Johor Bahru Utara,property,Theft Other,2016,374
Johor,Johor Bahru Utara,property,Theft Other,2017,282
Johor,Johor Bahru Utara,property,Theft Other,2018,300
Johor,Johor Bahru Utara,property,Theft Other,2019,269
Johor,Johor Bahru Utara,property,Theft Other,2020,175
Johor,Johor Bahru Utara,property,Theft Other,2021,86
Johor,Johor Bahru Utara,property,Theft Other,2022,51
Johor,Johor Bahru Utara,property,Theft Vehicle Lorry,2016,65
Johor,Johor Bahru Utara,property,Theft Vehicle Lorry,2017,42
Johor,Johor Bahru Utara,property,Theft Vehicle Lorry,2018,36
Johor,Johor Bahru Utara,property,Theft Vehicle Lorry,2019,40
Johor,Johor Bahru Utara,property,Theft Vehicle Lorry,2020,25
Johor,Johor Bahru Utara,property,Theft Vehicle Lorry,2021,8
Johor,Johor Bahru Utara,property,Theft Vehicle Lorry,2022,15
